Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Career
64,Adam Jones,,,,"$166,180.00","$390,000.00","$390,000.00","$460,000.00","$465,000.00","$3,250,000.00","$6,200,000.00","$10,575,000.00","$13,075,000.00","$13,075,000.00","$16,000,000.00","$16,000,000.00","$17,000,000.00","$4,500,000.00",,,,,,,,,,,,,,,,,,,,,"$101,546,180"
65,Marcus Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
66,Kenji Johjima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
67,Dustin Nippert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
68,Cole Hamels,,,,"$327,000.00","$400,000.00","$500,000.00","$4,350,000.00","$6,650,000.00","$9,550,000.00","$15,000,000.00","$25,500,000.00","$22,500,000.00","$22,500,000.00","$22,500,000.00","$22,500,000.00","$22,499,999.00","$20,000,000.00","$6,666,667.00","$322,581.00",,,,,,,,,,,,,,,,,,,"$201,766,247"
69,Yusmeiro Petit,,,,"$327,000.00","$380,000.00","$394,000.00","$411,500.00","$411,500.00","$414,000.00","$480,000.00","$120,491.00","$845,000.00","$2,100,000.00","$2,500,000.00","$2,750,000.00","$3,500,000.00","$5,500,000.00","$2,037,037.00","$3,000,000.00",,,,,,,,,,,,,,,,,,,"$25,170,528"
70,Jeff Niemann,,,,,,,,,,"$2,750,000.00","$3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,750,000"
71,Brad Snyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
72,Thomas Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
73,Gio Gonzalez,,,,,,,"$405,000.00","$405,000.00","$420,000.00","$3,750,000.00",,"$8,500,000.00","$11,000,000.00","$12,000,000.00","$12,000,000.00","$12,000,000.00","$1,709,677.00","$2,166,667.00",,,,,,,,,,,,,,,,,,,,"$64,356,344"
74,Javier Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
75,Matt Moses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
76,Jay Bruce,,,,,,"$390,000.00","$417,500.00","$440,000.00","$3,000,000.00","$5,000,000.00","$7,500,000.00","$10,000,000.00","$12,000,000.00","$11,999,999.00","$13,000,000.00","$10,000,000.00","$15,500,000.00","$6,314,814.00","$130,644.00",,,,,,,,,,,,,,,,,,,"$95,692,957"
77,Dustin Pedroia,,,,"$153,984.00","$380,000.00","$457,000.00","$1,750,000.00","$3,750,000.00","$5,750,000.00","$8,250,000.00","$10,250,000.00","$11,500,000.00","$10,500,000.00","$11,100,000.00","$13,000,000.00","$13,500,000.00","$12,500,000.00","$4,637,737.00","$14,000,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$2,500,000.00","$2,500,000.00","$2,500,000.00","$2,500,000.00",,,,,,,,,,,,"$137,478,721"
78,Kendrys Morales,,,"$3,316,000.00","$350,000.00","$400,000.00","$400,000.00","$600,000.00","$700,000.00","$2,975,000.00","$2,975,000.00","$5,250,000.00","$7,409,386.00","$7,250,000.00","$9,600,819.00","$10,000,000.00","$11,000,000.00","$10,654,570.00",,,,,,,,,,,,,,,,,,,,,"$72,880,775"
79,Jason Hammel,,,,"$327,000.00","$380,000.00","$396,300.00","$422,200.00","$1,900,000.00","$3,000,000.00","$4,750,000.00","$6,750,000.00","$6,000,000.00","$9,000,000.00","$11,000,000.00","$5,000,000.00","$9,000,000.00","$2,000,000.00",,,,,,,,,,,,,,,,,,,,,"$59,925,500"
80,Josh Johnson,,,,"$327,000.00","$382,000.00","$390,000.00","$1,400,000.00","$3,750,000.00","$7,750,000.00","$13,750,000.00","$13,750,000.00","$8,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$50,499,000"
81,Hayden Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
82,Blake DeWitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
83,Cliff Pennington,,,,,,"$390,000.00","$400,000.00","$405,000.00","$420,000.00","$490,000.00","$2,250,000.00","$2,750,000.00","$3,275,000.00","$1,500,000.00","$2,250,000.00","$233,885.00",,,,,,,,,,,,,,,,,,,,,,"$14,363,885"
84,Justin Huber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
85,Mark Pawelek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
86,Eric Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
87,Ricky Romero,,,,,,,"$400,000.00","$408,300.00","$1,000,000.00","$5,250,000.00","$7,750,000.00","$7,750,000.00","$7,750,000.00","$600,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$30,908,300"
88,Cesar Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
89,Andre Ethier,,,,,"$387,500.00","$424,500.00","$3,100,000.00","$6,250,000.00","$9,500,000.00","$10,950,000.00","$13,500,000.00","$15,500,000.00","$18,000,000.00","$18,000,000.00","$17,500,000.00","$2,500,000.00",,,,,,,,,,,,,,,,,,,,,,"$115,612,000"
90,Nick Adenhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
91,Glen Perkins,,,,,,"$390,000.00","$430,000.00","$500,000.00","$700,000.00","$1,550,000.00","$2,525,000.00","$4,050,000.00","$4,675,000.00","$6,300,000.00","$6,500,000.00","$700,000.00",,,,,,,,,,,,,,,,,,,,,,"$28,320,000"
92,Ryan Sweeney,,,,,"$380,000.00","$395,000.00","$410,000.00","$420,000.00","$1,400,000.00","$1,750,000.00","$398,961.00","$1,500,000.00","$1,500,000.00","$500,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$8,653,961"
93,Anthony Lerew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
94,Ronny Cedeno,,,,"$336,000.00","$400,000.00","$407,000.00","$822,500.00","$1,125,000.00","$1,850,000.00","$1,350,000.00","$1,148,054.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,438,554"
95,Tom Gorzelanny,,,,"$327,000.00","$386,000.00","$419,000.00","$433,000.00","$800,000.00","$2,100,000.00","$3,000,000.00","$2,900,000.00","$2,800,000.00","$1,000,000.00","$112,880.00",,,,,,,,,,,,,,,,,,,,,,,,"$14,277,880"
96,Matt Kemp,,,,,"$383,000.00","$406,000.00","$467,000.00","$4,000,000.00","$7,100,000.00","$12,000,000.00","$20,000,000.00","$21,000,000.00","$21,000,000.00","$21,500,000.00","$21,500,000.00","$21,500,000.00","$25,000,000.00","$370,370.00",,,,,,,,,,,,,,,,,,,,"$176,226,370"
97,Chris Volstad,,,,,,,,,,,"$1,500,000.00",,"$11,092.00",,"$70,152.00","$310,580.00",,,,,,,,,,,,,,,,,,,,,,"$1,891,824"
98,Chuck James,,,,,,,,,,,"$341,205.00","$81,900.00","$446,875.00","$564,704.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,434,684"
99,Nolan Reimold,,,,,,,,"$400,000.00","$414,000.00","$490,500.00","$1,000,000.00","$1,250,000.00","$288,415.00","$1,300,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$5,142,915"
100,Anthony Swarzak,,,,,,,,"$400,000.00",,"$487,500.00","$502,500.00","$935,000.00","$162,295.00","$750,000.00","$900,000.00","$6,000,000.00","$8,500,000.00",,"$220,416.00",,,,,,,,,,,,,,,,,,,"$18,857,711"
